@RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,score,simulacao
3,EMEP1403BN,3,1,BN,49,49,57,55,67,68,87,90,78,2803,109,3069,57,1501,0.1365,0.19,4.64,4.52,152,4319,70,-99,0.02,6.34,0.512,0.65,71.13,74.4,3,-99,4,-99,1,-99,3.78,-99,91,1224,4,-99,14.42,-99,2.82,-99,1.18,-99,96,-99,4,-99,-99,iteration_231052.542,86.2791063308843,RMSE_50_500
4,EMEP1403BN,4,1,BN,49,50,57,54,66,64,86,82,65,4004,92,3178,50,1062,0.131,0.23,4.64,5.31,136,5302,70,-99,0.01,4.92,0.478,-99,70.44,78.2,3,-99,4,-99,1,-99,3.87,-99,88,2161,3,-99,14.51,-99,2.76,-99,1.21,-99,95,-99,4,-99,-99,iteration_231052.542,86.2791063308843,RMSE_50_500
5,EMEP1403BN,5,1,BN,44,51,52,54,62,68,82,90,70,3993,93,5140,43,1964,0.1617,0.19,4.64,4.96,124,5002,50,-99,0.01,5.67,0.565,-99,75.41,77.6,3,-99,3,-99,0,-99,3.61,-99,65,2306,3,-99,14.53,-99,3.08,-99,1.25,-99,91,-99,4,-99,-99,iteration_231052.542,86.2791063308843,RMSE_50_500
6,EMEP1403BN,6,1,BN,46,55,53,67,63,74,83,91,69,4340,95,5358,51,3157,0.1341,0.19,4.64,4.95,136,4261,70,-99,0.01,5,0.505,-99,72.33,74.9,3,-99,4,-99,1,-99,3.79,-99,83,1849,3,-99,14.56,-99,2.8,-99,1.26,-99,92,-99,4,-99,-99,iteration_231052.542,86.2791063308843,RMSE_50_500
7,EMEP1403BN,8,1,BN,43,41,51,51,61,57,85,84,107,2630,141,-99,58,1215,0.1848,0.21,4.64,4.94,180,3092,70,-99,0.02,6.14,0.593,-99,76.01,72.3,4,-99,5,-99,1,-99,3.56,-99,95,2069,4,-99,14.27,-99,2.7,-99,1.31,-99,94,-99,4,-99,-99,iteration_231052.542,86.2791063308843,RMSE_50_500
8,EMEP1403BN,9,1,BN,46,47,54,56,66,65,89,86,99,2080,137,3807,61,1151,0.1612,0.17,4.64,4.63,187,3027,90,-99,0.02,4.59,0.53,0.69,72.39,71.8,4,-99,5,-99,1,-99,3.65,-99,105,2002,4,-99,14,-99,2.83,-99,1.14,-99,98,-99,4,-99,-99,iteration_231052.542,86.2791063308843,RMSE_50_500
1,EMEP1403BN,1,1,BN,46,35,51,42,63,56,88,72,73,1605,97,2313,44,1090,0.1653,0.15,4.64,5.49,128,3202,60,-99,0.01,4.18,0.567,0.5,74.75,70.4,3,-99,4,-99,0,-99,3.58,-99,75,1409,3,-99,14.6,-99,2.81,-99,1.25,-99,97,-99,4,-99,-99,iteration_231052.892,94.2058268961364,RMSE_100_100
2,EMEP1403BN,2,1,BN,47,42,53,48,66,62,89,82,80,1997,106,2923,49,1258,0.1642,0.17,4.64,5.52,140,3204,60,-99,0.01,6.26,0.568,0.62,75.4,72.7,3,-99,4,-99,0,-99,3.65,-99,78,1349,3,-99,14.41,-99,2.94,-99,1.2,-99,98,-99,4,-99,-99,iteration_231052.892,94.2058268961364,RMSE_100_100
3,EMEP1403BN,3,1,BN,50,49,55,55,67,68,87,90,76,2803,111,3069,63,1501,0.1209,0.19,4.64,4.52,151,4319,80,-99,0.01,6.34,0.503,0.65,68.53,74.4,3,-99,4,-99,1,-99,3.78,-99,93,1224,4,-99,14.42,-99,2.82,-99,1.18,-99,96,-99,4,-99,-99,iteration_231052.892,94.2058268961364,RMSE_100_100
4,EMEP1403BN,4,1,BN,50,50,55,54,66,64,86,82,64,4004,94,3178,54,1062,0.1173,0.23,4.64,5.31,137,5302,70,-99,0.01,4.92,0.464,-99,67.36,78.2,3,-99,4,-99,1,-99,3.94,-99,90,2161,4,-99,14.51,-99,2.63,-99,1.21,-99,95,-99,4,-99,-99,iteration_231052.892,94.2058268961364,RMSE_100_100
